"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211896",1270.06398770514,2.95937071331725,0.234513855536911,205.534574805839,2.33740603352856e-45,4.59347033709032e-41
"ENSG00000253755",134.834745346145,3.72212249817935,0.346618485516526,163.335035397313,3.40602406990731e-36,3.34675925109093e-32
"ENSG00000239264",33.8612182143044,2.70127589233081,0.301506406143096,112.545282027683,3.64000957088683e-25,2.3844489362356e-21
"ENSG00000101057",158.646890969996,1.69504777096783,0.210066162423823,89.2891217735692,4.0842616816735e-20,2.00659776420619e-16
"ENSG00000171848",109.872549969181,1.7623519510122,0.232276054670271,75.7777153754143,3.50815021115119e-17,1.37884335899086e-13
"ENSG00000131153",45.3159676486874,1.5731279604779,0.200763572540007,69.4442448270492,8.32480052301591e-16,2.72664966463848e-12
"ENSG00000048462",106.912009162638,2.25627642142211,0.299830124100743,66.3499124271272,3.91110593311349e-15,1.09801505425066e-11
"ENSG00000176890",58.7493466544698,1.56841951744035,0.203791332439316,64.3992046940478,1.03726656985042e-14,2.54804532883756e-11
"ENSG00000132465",5025.95523760834,2.64342821002302,0.361731194911833,63.9120137294423,1.32337386919517e-14,2.88966036415816e-11
"ENSG00000211933",39.0399934193785,3.07759028804399,0.418429775898893,63.4048702116195,1.70532583168814e-14,3.35130632443352e-11
"ENSG00000254709",113.797866491887,1.93381780400291,0.29521802477895,56.5437324242361,5.26846999464558e-13,9.41236112134317e-10
"ENSG00000170476",617.730377520086,1.6318548511732,0.255907192115201,53.8949055103268,1.98093382193496e-12,3.24410928905548e-09
"ENSG00000270550",123.348712647842,2.67556808034163,0.386810172386547,52.8047620243499,3.41658018112196e-12,5.16481797841605e-09
"ENSG00000239951",513.891175830447,1.44750123547968,0.225045851622708,52.4457992933244,4.08826824850055e-12,5.73876054425234e-09
"ENSG00000131747",34.0441799516322,1.91873495530757,0.319543668294807,48.8805996104403,2.4305953265921e-11,3.18440395721254e-08
"ENSG00000211673",248.104317292286,1.5839534361696,0.253799001665613,47.6437621557361,4.51116278977114e-11,5.5408356965364e-08
"ENSG00000123352",108.00513003663,0.830097198342492,0.161733812702608,47.3639313334594,5.18863344029351e-11,5.9980602569793e-08
"ENSG00000117724",35.6473678740986,1.51230747856364,0.239706379956154,46.5707150762005,7.71432110230479e-11,8.42232435013854e-08
"ENSG00000211677",947.09063200083,1.32177509215355,0.218653229880199,46.4343201755548,8.25877222263417e-11,8.54217851153719e-08
"ENSG00000115884",9.25655214688033,3.43765069490476,0.646697772776167,45.3615493841666,1.41209757085697e-10,1.38752707312406e-07
"ENSG00000105974",10.3460661304109,2.80749659403499,0.523009201985126,45.0211795256848,1.67407565819115e-10,1.56661594451298e-07
"ENSG00000211895",5073.71615555471,2.5337516978313,0.433794809463829,44.2686497668527,2.43884860933542e-10,2.17855694866635e-07
"ENSG00000117399",20.4345998079121,2.57923220144987,0.431041570465099,43.2492101128784,4.06025538157534e-10,3.37400146863005e-07
"ENSG00000111206",18.8718767891694,2.01452562808298,0.327191486964007,43.2197535889932,4.12049843512728e-10,3.37400146863005e-07
"ENSG00000211592",11557.1788425249,2.13177347224757,0.353915161834436,42.5077279277801,5.8825301445428e-10,4.62413929602221e-07
"ENSG00000004468",296.413215761562,0.835264078180163,0.156105863762686,42.3066125899041,6.50482776955074e-10,4.91664905104658e-07
"ENSG00000135451",30.5050307009287,1.63547341594562,0.288974681348196,41.422579091528,1.01204829411324e-09,7.36621225033826e-07
"ENSG00000100526",43.5961759685759,1.35039562716683,0.268106229149178,39.7792142319106,2.30172472187217e-09,1.61548193693685e-06
"ENSG00000145850",25.8969453654851,1.44649003156239,0.280698454984293,39.0092395732235,3.38260475518412e-09,2.29223960858201e-06
"ENSG00000146670",22.1703923385741,1.73315727377961,0.312474244334,36.0463114731004,1.48813700794214e-08,9.74828949335967e-06
"ENSG00000137265",320.73699577485,0.808734194209652,0.174056186895149,35.8025730349503,1.68100903044156e-08,1.06565127310443e-05
"ENSG00000178445",14.3602277108755,3.53246224232509,0.645047118879021,35.0515420408611,2.44711486257876e-08,1.50283441498118e-05
"ENSG00000170456",57.3942654178254,1.25173689926783,0.265811740891316,34.9368298965406,2.59157499140971e-08,1.54332217367223e-05
"ENSG00000197114",213.662256103447,-0.500107597676143,0.0899272495445307,33.9873465357826,4.16621302645043e-08,2.40807112928835e-05
"ENSG00000088325",23.6130032496954,1.9111850641119,0.354156183175227,33.3944134610055,5.60396292952182e-08,3.14654512831322e-05
"ENSG00000164611",93.1111464164749,1.02068936962713,0.191928234103685,33.0703567363217,6.58966409831721e-08,3.59722441278139e-05
"ENSG00000211598",879.877364341098,2.10694454440728,0.402516457283392,32.89206565476,7.20408276909498e-08,3.82634147508796e-05
"ENSG00000138180",11.6479173136359,1.87767011826424,0.390164061517949,32.7194064007869,7.85364333756255e-08,4.06157365446788e-05
"ENSG00000089685",44.9370185939639,1.87312927547314,0.373684137948175,32.3031195257601,9.67089617596499e-08,4.87313978589907e-05
"ENSG00000211955",45.1669377144221,1.86125111323487,0.34863973268884,31.101762636717,1.7633481020132e-07,8.66332922519086e-05
"ENSG00000133328",18.0735759431298,1.75948399171833,0.408458629554194,30.9863762364985,1.86807321377644e-07,8.95399385295965e-05
"ENSG00000070214",354.861613910531,0.534790517008728,0.114791203842818,30.7776706634217,2.07354627801566e-07,9.47658871059622e-05
"ENSG00000171241",25.8069730502834,1.71043181329475,0.317559799118056,30.7945576501864,2.05611201037869e-07,9.47658871059622e-05
"ENSG00000145088",214.926166557791,1.10409813198096,0.222413084051592,30.4700573107824,2.41830527574876e-07,0.000108010307452306
"ENSG00000127074",8.08099773909775,2.78033926844918,0.542959881442348,29.5922525868183,3.75080077636252e-07,0.00016380163746017
"ENSG00000211640",94.0310036296557,1.84409313902022,0.354855672908544,29.4236843001899,4.08063862075966e-07,0.000174331978641671
"ENSG00000152253",7.33470915246016,3.2469498264527,0.638598672281541,29.111024381325,4.77113136538631e-07,0.000199494199133132
"ENSG00000142173",650.204481895514,-0.463382018138828,0.0924229124399435,28.7802960210204,5.62908913010162e-07,0.000230464290801577
"ENSG00000172915",41.1842814425303,1.06259625221719,0.305509889998303,28.5531515138743,6.30611560831632e-07,0.000252913844764556
"ENSG00000169679",25.582095110466,1.68068304222391,0.378548544373507,28.075965127387,8.00537416897748e-07,0.000302541563786049
"ENSG00000211897",262.513164573324,1.39226252981,0.285991213001831,28.104059041279,7.89370913575795e-07,0.000302541563786049
"ENSG00000224373",64.108399134845,1.69599022427122,0.348086962647531,28.0872488951778,7.96033594705355e-07,0.000302541563786049
"ENSG00000259772",23.8537559001114,1.67013711670218,0.354759282351841,27.6967635389898,9.67663175423558e-07,0.00035880220232875
"ENSG00000211666",534.096951416863,1.31314919567996,0.272348091447007,27.3981250957966,1.12349909830482e-06,0.000408870449627524
"ENSG00000017427",4.96191322022768,3.57539947911346,0.785392878361171,27.2150744250664,1.23118035252994e-06,0.000439911932507606
"ENSG00000211893",676.091349361325,1.21763275485577,0.260147934109572,26.9947883271984,1.37453624018999e-06,0.000482364039146673
"ENSG00000078900",7.49079955273673,2.33529146528688,0.496870818034227,26.7572842000095,1.54785245599387e-06,0.000533656078336693
"ENSG00000122952",46.5582966079018,0.882049925464737,0.199589571748108,26.6788556107314,1.6097562219572e-06,0.000545429815067292
"ENSG00000138160",22.9881959623772,1.69183393467432,0.370697140381644,25.8318452415057,2.45858980902656e-06,0.000818918761474406
"ENSG00000090006",765.1960940497,-0.368006334546383,0.0817079521424815,25.7443629521883,2.56851800767515e-06,0.000841275264780534
"ENSG00000180535",12.5954970391649,2.63405577653047,0.543132193595941,25.205845355714,3.36217430781483e-06,0.00108317130323241
"ENSG00000079277",1160.62108702975,-0.364044429744496,0.0871537780670878,24.4036844735516,5.02119684782511e-06,0.00159155742666869
"ENSG00000150967",92.4155112489365,0.66058284362722,0.197449083361658,24.2240335408606,5.49310564883795e-06,0.00171350019382482
"ENSG00000230006",82.0780428232503,1.14692076124443,0.266015324237028,23.9427054077446,6.3227728504032e-06,0.00194148643837693
"ENSG00000211665",20.2614305525597,2.12640018747999,0.502439128410086,23.9102391349631,6.42624888244388e-06,0.00194290220058134
"ENSG00000094804",25.4399852229634,1.50654554346196,0.354298642876953,23.4776963625659,7.97779754644325e-06,0.00237544965731368
"ENSG00000051341",13.2362361865704,1.24277403070917,0.331261691727607,23.3779124587319,8.3859218415842e-06,0.00245970352284795
"ENSG00000123473",30.8941165138129,1.27017398125152,0.308078889056308,23.2561083080631,8.91251442215042e-06,0.00257571666800147
"ENSG00000170312",17.3458659786845,1.76249704938131,0.394895557158762,23.1478864605444,9.40806525915497e-06,0.00267952606482483
"ENSG00000224220",19.9973897033996,2.16216076220616,0.489074606723981,22.9576322023538,1.03469775901248e-05,0.00290484005144475
"ENSG00000154839",8.49169209179556,2.19346966488247,0.464883239398892,22.9057897544039,1.06186902625235e-05,0.00293913381745228
"ENSG00000066279",24.6732200851029,1.74876652297982,0.510970864174463,22.7901926006743,1.12505189629572e-05,0.00307076664805605
"ENSG00000211653",156.538976216385,1.00220899131602,0.242111128079812,22.6208070272993,1.22448696393276e-05,0.00328717223906389
"ENSG00000211669",122.194977258715,2.62635996382901,0.571581794846223,22.599193771354,1.23779129702182e-05,0.00328717223906389
"ENSG00000274576",11.4186861212874,2.4827299964153,0.564414397920493,22.5539635584902,1.26610300848639e-05,0.00331752750970326
"ENSG00000118985",216.09772796308,1.00523800448946,0.225270942826863,22.2550589790856,1.47019636783065e-05,0.00380161829218525
"ENSG00000137812",25.1904495671387,1.61126598301545,0.374581664895977,22.042192989545,1.6353044094968e-05,0.00417363665654949
"ENSG00000205038",63.5162319943716,0.980319183899742,0.256982986886007,21.9162251836295,1.74161505135064e-05,0.0043324327834358
"ENSG00000093009",15.9225743025558,1.60594350121873,0.348270074394481,21.9344049570686,1.72585570168736e-05,0.0043324327834358
"ENSG00000211966",187.030804355596,2.24637553550168,0.563920061443475,21.5126041992006,2.13106821920401e-05,0.00517650178054668
"ENSG00000211679",665.113264346001,1.64642764368482,0.374204911568921,21.510222042814,2.1336080003271e-05,0.00517650178054668
"ENSG00000287080",3.24474053825733,4.30039232785179,0.93698963901397,21.4804029667455,2.16565743741017e-05,0.00518958352916431
"ENSG00000101104",690.119465841874,-0.3209517351729,0.0805405522685398,21.4563912307569,2.1918147410983e-05,0.00518958352916431
"ENSG00000188897",1289.65298545692,-0.615780477249971,0.141854111539156,21.3234430982502,2.34246528608143e-05,0.00548025330977051
"ENSG00000074695",336.420994613111,0.798328932271704,0.1953970719746,21.1257930209991,2.58578452825427e-05,0.00597833382932388
"ENSG00000087266",5155.21676073728,-0.292042713164053,0.0738986935335338,20.12608898689,4.26260711334863e-05,0.00974055290599154
"ENSG00000157456",19.5390141105059,1.50242133092539,0.34450364820075,20.0792766263296,4.36355526051773e-05,0.00985661930801085
"ENSG00000163808",15.4719216768355,1.29792988151457,0.350185782121755,19.9911264559642,4.56018064096383e-05,0.0101837124950251
"ENSG00000035499",14.2926140307908,1.72263959411359,0.435080483839617,19.8793660042875,4.82225886669972e-05,0.0106479810391441
"ENSG00000134690",27.4243600526525,1.00828519128845,0.262731637942175,19.5656455088387,5.64123329285239e-05,0.0120501648555582
"ENSG00000160219",905.010723721068,-0.369409896617691,0.0867180095459197,19.5809909264731,5.59811537955398e-05,0.0120501648555582
"ENSG00000166562",1239.53595148578,0.810842905009552,0.2137359841678,19.5732230665254,5.6199003459303e-05,0.0120501648555582
"ENSG00000111291",8.57215923921616,2.30055606067259,0.584787564819787,19.5110543968025,5.79733463691147e-05,0.0122504537940413
"ENSG00000100228",44.2182681227102,-0.590253493929518,0.212049062424038,19.4890998860051,5.86132403125528e-05,0.0122539084959818
"ENSG00000269335",185.632987210293,-0.45844318305771,0.126391268708838,19.3269588823522,6.35629730961397e-05,0.0131488373398457
"ENSG00000169607",6.869268209805,2.53872910314796,0.567348899041339,19.2932874704986,6.46421595616508e-05,0.0132327887469329
"ENSG00000068831",7013.56441659241,-0.231780511669083,0.0610190977450932,19.0603271870443,7.26277415924827e-05,0.0147142306987162
"ENSG00000110777",310.529361845115,0.724792997198954,0.180218703193813,18.8119062952696,8.22330599459672e-05,0.0164429398558721
"ENSG00000211934",125.187264246111,2.68426071369681,0.6211265171515,18.7812424691437,8.35035648193156e-05,0.0164429398558721
"ENSG00000211668",136.362363559635,1.1985266369276,0.300217244854473,18.7772465785833,8.36705671477308e-05,0.0164429398558721
"ENSG00000211594",12.1094178841081,1.6760570242194,0.418261393869838,18.7342293573458,8.548969815699e-05,0.0166340945364472
"ENSG00000143297",238.383057772746,0.476836092779607,0.145647353318644,18.6016425525004,9.1349177752307e-05,0.017430351371924
"ENSG00000165409",8.42328790378507,1.9304032825057,0.495060325488979,18.601495331361,9.13559022648163e-05,0.017430351371924
"ENSG00000165891",5.36792978647279,2.92901090262879,0.71566277989974,18.5593554468323,9.33011874081818e-05,0.0176303359129384
"ENSG00000184661",6.27684217345896,2.13531686554646,0.587619735361275,18.5053162702617,9.58565135491142e-05,0.0179406876596875
